,userId,movieId,rating,title,genres,year
0,2,60756,5.0,Step Brothers,Comedy,2008.0
1,62,60756,3.5,Step Brothers,Comedy,2008.0
2,424,60756,4.0,Step Brothers,Comedy,2008.0
3,2,89774,5.0,Warrior,Drama,2011.0
4,2,106782,5.0,"Wolf of Wall Street, The",Comedy|Crime|Drama,2013.0
5,537,106782,5.0,"Wolf of Wall Street, The",Comedy|Crime|Drama,2013.0
6,7,48516,1.0,"Departed, The",Crime|Drama|Thriller,2006.0
7,357,48516,4.0,"Departed, The",Crime|Drama|Thriller,2006.0
8,424,48516,4.5,"Departed, The",Crime|Drama|Thriller,2006.0
9,18,431,4.0,Carlito's Way,Crime|Drama,1993.0
10,18,1221,5.0,"Godfather: Part II, The",Crime|Drama,1974.0
11,474,1221,5.0,"Godfather: Part II, The",Crime|Drama,1974.0
12,18,5995,4.5,"Pianist, The",Drama|War,2002.0
13,474,5995,4.5,"Pianist, The",Drama|War,2002.0
14,18,44665,4.5,Lucky Number Slevin,Crime|Drama|Mystery,2006.0
15,18,52604,4.5,Fracture,Crime|Drama|Mystery|Thriller,2007.0
16,18,88094,3.0,Upside Down: The Creation Records Story,Documentary,2010.0
17,18,144210,4.0,Just Eat It: A Food Waste Story,Documentary,2014.0
18,21,119141,0.5,The Interview,Action|Comedy,2014.0
19,62,119141,3.0,The Interview,Action|Comedy,2014.0
20,49,109487,4.5,Interstellar,Sci-Fi|IMAX,2014.0
21,567,109487,3.0,Interstellar,Sci-Fi|IMAX,2014.0
22,62,2,4.0,Jumanji,Adventure|Children|Fantasy,1995.0
23,474,2,3.0,Jumanji,Adventure|Children|Fantasy,1995.0
24,62,110,4.5,Braveheart,Action|Drama|War,1995.0
25,474,110,3.0,Braveheart,Action|Drama|War,1995.0
26,62,410,4.5,Addams Family Values,Children|Comedy|Fantasy,1993.0
27,62,2023,5.0,"Godfather: Part III, The",Crime|Drama|Mystery|Thriller,1990.0
28,62,2124,5.0,"Addams Family, The",Children|Comedy|Fantasy,1991.0
29,62,2953,3.5,Home Alone 2: Lost in New York,Children|Comedy,1992.0
30,62,3114,3.0,Toy Story 2,Adventure|Animation|Children|Comedy|Fantasy,1999.0
31,474,3114,4.0,Toy Story 2,Adventure|Animation|Children|Comedy|Fantasy,1999.0
32,62,3578,4.5,Gladiator,Action|Adventure|Drama,2000.0
33,606,3578,3.5,Gladiator,Action|Adventure|Drama,2000.0
34,62,4223,4.5,Enemy at the Gates,Drama|War,2001.0
35,62,5388,4.5,Insomnia,Action|Crime|Drama|Mystery|Thriller,2002.0
36,184,5388,3.5,Insomnia,Action|Crime|Drama|Mystery|Thriller,2002.0
