,userId,movieId,timestamp,tag,rating,title,genres,imdbId,tmdbId
0,2,60756,1445714980,funny|Highly quotable|will ferrell,5.0,Step Brothers (2008),Comedy,838283,12133.0
1,62,60756,1528934376,comedy|funny|will ferrell,3.5,Step Brothers (2008),Comedy,838283,12133.0
2,424,60756,1457846119,funny|will ferrell,4.0,Step Brothers (2008),Comedy,838283,12133.0
3,2,89774,1445715189,Boxing story|MMA|Tom Hardy,5.0,Warrior (2011),Drama,1291584,59440.0
4,2,106782,1445714966,drugs|Leonardo DiCaprio|Martin Scorsese,5.0,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,993846,106646.0
5,537,106782,1424142673,Stock Market|Wall Street,5.0,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,993846,106646.0
6,7,48516,1169687318,way too long,1.0,"Departed, The (2006)",Crime|Drama|Thriller,407887,1422.0
7,357,48516,1348610145,Leonardo DiCaprio|suspense|twist ending|undercover cop,4.0,"Departed, The (2006)",Crime|Drama|Thriller,407887,1422.0
8,424,48516,1457843150,atmospheric|Jack Nicholson|Leonardo DiCaprio|Martin Scorsese|suspense,4.5,"Departed, The (2006)",Crime|Drama|Thriller,407887,1422.0
9,18,431,1462138790,Al Pacino|gangster|mafia,4.0,Carlito's Way (1993),Crime|Drama,106519,6075.0
10,18,1221,1460242083,Al Pacino|Mafia,5.0,"Godfather: Part II, The (1974)",Crime|Drama,71562,240.0
11,474,1221,983033120,Mafia,5.0,"Godfather: Part II, The (1974)",Crime|Drama,71562,240.0
12,18,5995,1455735416,holocaust|true story,4.5,"Pianist, The (2002)",Drama|War,253474,423.0
13,474,5995,1054300218,Holocaust,4.5,"Pianist, The (2002)",Drama|War,253474,423.0
14,18,44665,1455049870,twist ending,4.5,Lucky Number Slevin (2006),Crime|Drama|Mystery,425210,186.0
15,18,52604,1457650649,Anthony Hopkins|courtroom drama|twist ending,4.5,Fracture (2007),Crime|Drama|Mystery|Thriller,488120,6145.0
16,18,88094,1457352482,britpop|indie record label|music,3.0,Upside Down: The Creation Records Story (2010),Documentary,1764726,64780.0
17,18,144210,1455060282,dumpster diving|Sustainability,4.0,Just Eat It: A Food Waste Story (2014),Documentary,3597400,259985.0
18,21,119141,1419793939,bloody,0.5,The Interview (2014),Action|Comedy,2788710,228967.0
19,62,119141,1525555123,bromance|comedy|funny|James Franco|Seth Rogen,3.0,The Interview (2014),Action|Comedy,2788710,228967.0
20,49,109487,1493093231,black hole|sci-fi|time-travel,4.5,Interstellar (2014),Sci-Fi|IMAX,816692,157336.0
21,567,109487,1525287553,bad dialogue|philosophical issues|thought-provoking|visually appealing,3.0,Interstellar (2014),Sci-Fi|IMAX,816692,157336.0
22,62,2,1528843890,fantasy|magic board game|Robin Williams,4.0,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0
23,474,2,1046886814,game,3.0,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0
24,62,110,1521822303,beautiful scenery|epic|historical|inspirational|Medieval|mel gibson|Oscar (Best Cinematography)|revenge|sword fight,4.5,Braveheart (1995),Action|Drama|War,112573,197.0
25,474,110,1137180852,Scotland,3.0,Braveheart (1995),Action|Drama|War,112573,197.0
26,62,410,1525636601,black comedy|Christina Ricci|Christopher Lloyd|dark comedy|family|gothic,4.5,Addams Family Values (1993),Children|Comedy|Fantasy,106220,2758.0
27,62,2023,1525636725,Al Pacino|Andy Garcia|Classic|Francis Ford Coppola|mafia,5.0,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,99674,242.0
28,62,2124,1525636840,black comedy|Christina Ricci|Christopher Lloyd|Family|gothic|quirky,5.0,"Addams Family, The (1991)",Children|Comedy|Fantasy,101272,2907.0
29,62,2953,1525636880,family|funny|Macaulay Culkin|sequel,3.5,Home Alone 2: Lost in New York (1992),Children|Comedy,104431,772.0
30,62,3114,1525636897,animation|Disney|funny|original|Pixar|sequel|Tom Hanks,3.0,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,120363,863.0
31,474,3114,1002927941,Pixar,4.0,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,120363,863.0
32,62,3578,1521489618,ancient Rome|Epic|history|imdb top 250|revenge|Rome|Russell Crowe,4.5,Gladiator (2000),Action|Adventure|Drama,172495,98.0
33,606,3578,1171323835,Romans,3.5,Gladiator (2000),Action|Adventure|Drama,172495,98.0
34,62,4223,1525125789,Ed Harris|Jude Law|Rachel Weisz|sniper|World War II,4.5,Enemy at the Gates (2001),Drama|War,215750,853.0
35,62,5388,1530310806,Al Pacino|atmospheric|Hilary Swank|Robin Williams,4.5,Insomnia (2002),Action|Crime|Drama|Mystery|Thriller,278504,320.0
36,184,5388,1537094597,atmospheric|insomnia|thought-provoking,3.5,Insomnia (2002),Action|Crime|Drama|Mystery|Thriller,278504,320.0
37,62,6058,1525555043,sequel|violent,3.5,Final Destination 2 (2003),Horror|Thriller,309593,9358.0
38,62,6534,1525553932,dogs|Eric Bana|mad scientist|marvel,3.5,Hulk (2003),Action|Adventure|Sci-Fi,286716,1927.0
39,62,6541,1525553960,captain nemo|comic book|gothic|Peta Wilson|Sean Connery|superhero,3.5,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",Action|Fantasy|Sci-Fi,311429,8698.0
40,62,6564,1525554328,adventure|Angelina Jolie|heroine in tight suit,3.5,Lara Croft Tomb Raider: The Cradle of Life (2003),Action|Adventure|Comedy|Romance|Thriller,325703,1996.0
41,62,7153,1521488588,Adventure|ensemble cast|fantasy|fantasy world|great soundtrack|lord of the rings|scenic|stylized|Tolkien,5.0,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,167260,122.0
42,474,7153,1072654131,Tolkein,5.0,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,167260,122.0
43,62,8641,1521490412,hilarious|Steve Carell|Will Ferrell,4.0,Anchorman: The Legend of Ron Burgundy (2004),Comedy,357413,8699.0
44,305,8641,1520707055,stupid,3.0,Anchorman: The Legend of Ron Burgundy (2004),Comedy,357413,8699.0
45,327,8641,1234787997,awesome,5.0,Anchorman: The Legend of Ron Burgundy (2004),Comedy,357413,8699.0
46,424,8641,1457846526,comedy|Will Ferrell,4.5,Anchorman: The Legend of Ron Burgundy (2004),Comedy,357413,8699.0
47,62,27660,1525554402,animation|anime|cyberpunk|dark|Matrix|sci-fi,4.5,"Animatrix, The (2003)",Action|Animation|Drama|Sci-Fi,328832,55931.0
48,62,27706,1526248533,dark comedy|Jim Carrey|meryl streep|quirky|stylized,4.0,Lemony Snicket's A Series of Unfortunate Events (2004),Adventure|Children|Comedy|Fantasy,339291,11774.0
49,62,27808,1525554894,Adam Sandler|family|sweet,4.0,Spanglish (2004),Comedy|Drama|Romance,371246,2539.0
50,62,27831,1532723284,British gangster|confusing|daniel craig|Exquisite plotting.|organized crime|stylish|Tom Hardy,4.5,Layer Cake (2004),Crime|Drama|Thriller,375912,4836.0
51,62,31658,1525869033,anime|fantasy world|Hayao Miyazaki|Studio Ghibli,3.5,Howl's Moving Castle (Hauru no ugoku shiro) (2004),Adventure|Animation|Fantasy|Romance,347149,4935.0
52,474,31658,1145451850,06 Oscar Nominated Best Movie - Animation|In Netflix queue,4.0,Howl's Moving Castle (Hauru no ugoku shiro) (2004),Adventure|Animation|Fantasy|Romance,347149,4935.0
53,62,33162,1525554409,David Thewlis|Eva Green|Liam Neeson|Orlando Bloom,4.0,Kingdom of Heaven (2005),Action|Drama|Romance|War,320661,1495.0
